Quarter,QuarterQF,HB,HBQF,Location,LocationQF,AdmissionType,AdmissionTypeQF,SIMD,SIMDQF,Episodes,LengthOfEpisode,AverageLengthOfEpisode,AverageLengthOfEpisodeQF,Stays,LengthOfStay,AverageLengthOfStay,AverageLengthOfStayQF
2021Q1,,S08000029,,S08000029,d,Elective Inpatients,,1,,123,221,1.79674796747967,,125,255,2.04,
2021Q2,,S08000029,,S08000029,d,Elective Inpatients,,1,,256,398,1.5546875,,263,585,2.22433460076046,
2021Q3,p,S08000029,,S08000029,d,Elective Inpatients,,1,,202,319,1.57920792079208,,201,414,2.05970149253731,
2016Q3,,S08000029,,S08000029,d,Elective Inpatients,,2,,311,687,2.20900321543408,,313,1079,3.44728434504792,
2016Q4,,S08000029,,S08000029,d,Elective Inpatients,,2,,354,627,1.77118644067797,,355,896,2.52394366197183,
2017Q1,,S08000029,,S08000029,d,Elective Inpatients,,2,,335,600,1.7910447761194,,339,962,2.8377581120944,
2017Q2,,S08000029,,S08000029,d,Elective Inpatients,,2,,307,601,1.95765472312704,,312,874,2.80128205128205,
2017Q3,,S08000029,,S08000029,d,Elective Inpatients,,2,,358,783,2.18715083798883,,358,1064,2.97206703910615,
2017Q4,,S08000029,,S08000029,d,Elective Inpatients,,2,,329,933,2.83586626139818,,332,1117,3.3644578313253,
2018Q1,,S08000029,,S08000029,d,Elective Inpatients,,2,,281,513,1.82562277580071,,284,683,2.40492957746479,
2018Q2,,S08000029,,S08000029,d,Elective Inpatients,,2,,309,597,1.93203883495146,,311,671,2.15755627009646,
2018Q3,,S08000029,,S08000029,d,Elective Inpatients,,2,,312,628,2.01282051282051,,317,966,3.04731861198738,
2018Q4,,S08000029,,S08000029,d,Elective Inpatients,,2,,299,531,1.77591973244147,,310,755,2.43548387096774,
2019Q1,,S08000029,,S08000029,d,Elective Inpatients,,2,,297,502,1.69023569023569,,300,686,2.28666666666667,
2019Q2,,S08000029,,S08000029,d,Elective Inpatients,,2,,301,552,1.83388704318937,,303,799,2.63696369636964,
2019Q3,,S08000029,,S08000029,d,Elective Inpatients,,2,,294,559,1.90136054421769,,296,829,2.80067567567568,
2019Q4,,S08000029,,S08000029,d,Elective Inpatients,,2,,333,631,1.89489489489489,,337,861,2.55489614243323,
2020Q1,,S08000029,,S08000029,d,Elective Inpatients,,2,,290,481,1.65862068965517,,295,657,2.2271186440678,
2020Q2,,S08000029,,S08000029,d,Elective Inpatients,,2,,75,115,1.53333333333333,,80,237,2.9625,
2020Q3,,S08000029,,S08000029,d,Elective Inpatients,,2,,186,331,1.77956989247312,,188,521,2.77127659574468,
2020Q4,,S08000029,,S08000029,d,Elective Inpatients,,2,,199,401,2.01507537688442,,205,490,2.39024390243902,
2021Q1,,S08000029,,S08000029,d,Elective Inpatients,,2,,137,319,2.32846715328467,,138,391,2.83333333333333,
2021Q2,,S08000029,,S08000029,d,Elective Inpatients,,2,,242,384,1.58677685950413,,248,561,2.26209677419355,
2021Q3,p,S08000029,,S08000029,d,Elective Inpatients,,2,,227,361,1.59030837004405,,226,458,2.02654867256637,
2016Q3,,S08000029,,S08000029,d,Elective Inpatients,,3,,328,883,2.69207317073171,,327,1241,3.79510703363914,
2016Q4,,S08000029,,S08000029,d,Elective Inpatients,,3,,299,698,2.33444816053512,,302,989,3.27483443708609,
2017Q1,,S08000029,,S08000029,d,Elective Inpatients,,3,,253,463,1.8300395256917,,257,803,3.12451361867704,
2017Q2,,S08000029,,S08000029,d,Elective Inpatients,,3,,267,507,1.89887640449438,,274,802,2.92700729927007,
2017Q3,,S08000029,,S08000029,d,Elective Inpatients,,3,,276,610,2.21014492753623,,278,790,2.84172661870504,
2017Q4,,S08000029,,S08000029,d,Elective Inpatients,,3,,242,505,2.08677685950413,,253,743,2.93675889328063,
2018Q1,,S08000029,,S08000029,d,Elective Inpatients,,3,,258,477,1.84883720930233,,257,675,2.62645914396887,
2018Q2,,S08000029,,S08000029,d,Elective Inpatients,,3,,279,498,1.78494623655914,,279,661,2.36917562724014,
2018Q3,,S08000029,,S08000029,d,Elective Inpatients,,3,,245,438,1.78775510204082,,253,640,2.5296442687747,
2018Q4,,S08000029,,S08000029,d,Elective Inpatients,,3,,279,668,2.39426523297491,,284,829,2.91901408450704,
2019Q1,,S08000029,,S08000029,d,Elective Inpatients,,3,,245,478,1.95102040816327,,245,644,2.62857142857143,
2019Q2,,S08000029,,S08000029,d,Elective Inpatients,,3,,290,432,1.48965517241379,,297,716,2.41077441077441,
2019Q3,,S08000029,,S08000029,d,Elective Inpatients,,3,,250,404,1.616,,258,627,2.43023255813953,
2019Q4,,S08000029,,S08000029,d,Elective Inpatients,,3,,240,473,1.97083333333333,,243,559,2.30041152263374,
2020Q1,,S08000029,,S08000029,d,Elective Inpatients,,3,,212,363,1.7122641509434,,223,610,2.73542600896861,
2020Q2,,S08000029,,S08000029,d,Elective Inpatients,,3,,64,107,1.671875,,67,155,2.3134328358209,
2020Q3,,S08000029,,S08000029,d,Elective Inpatients,,3,,166,247,1.48795180722892,,173,366,2.11560693641619,
2020Q4,,S08000029,,S08000029,d,Elective Inpatients,,3,,180,301,1.67222222222222,,182,334,1.83516483516484,
2021Q1,,S08000029,,S08000029,d,Elective Inpatients,,3,,109,223,2.04587155963303,,108,238,2.2037037037037,
2021Q2,,S08000029,,S08000029,d,Elective Inpatients,,3,,203,401,1.97536945812808,,205,506,2.46829268292683,
2021Q3,p,S08000029,,S08000029,d,Elective Inpatients,,3,,211,303,1.43601895734597,,212,394,1.85849056603774,
2016Q3,,S08000029,,S08000029,d,Elective Inpatients,,4,,204,476,2.33333333333333,,206,650,3.15533980582524,
2016Q4,,S08000029,,S08000029,d,Elective Inpatients,,4,,189,449,2.37566137566138,,189,531,2.80952380952381,
2017Q1,,S08000029,,S08000029,d,Elective Inpatients,,4,,234,567,2.42307692307692,,231,743,3.21645021645022,
2017Q2,,S08000029,,S08000029,d,Elective Inpatients,,4,,228,496,2.17543859649123,,227,648,2.85462555066079,
2017Q3,,S08000029,,S08000029,d,Elective Inpatients,,4,,238,483,2.02941176470588,,243,637,2.62139917695473,
2017Q4,,S08000029,,S08000029,d,Elective Inpatients,,4,,241,470,1.95020746887967,,241,600,2.4896265560166,
2018Q1,,S08000029,,S08000029,d,Elective Inpatients,,4,,221,528,2.38914027149321,,223,722,3.23766816143498,
2018Q2,,S08000029,,S08000029,d,Elective Inpatients,,4,,257,505,1.96498054474708,,257,718,2.79377431906615,
2018Q3,,S08000029,,S08000029,d,Elective Inpatients,,4,,211,447,2.11848341232227,,217,625,2.88018433179723,
2018Q4,,S08000029,,S08000029,d,Elective Inpatients,,4,,211,538,2.54976303317536,,214,907,4.23831775700935,
2019Q1,,S08000029,,S08000029,d,Elective Inpatients,,4,,205,410,2,,211,756,3.58293838862559,
2019Q2,,S08000029,,S08000029,d,Elective Inpatients,,4,,230,429,1.86521739130435,,236,639,2.70762711864407,
2019Q3,,S08000029,,S08000029,d,Elective Inpatients,,4,,236,394,1.66949152542373,,236,554,2.34745762711864,
2019Q4,,S08000029,,S08000029,d,Elective Inpatients,,4,,235,430,1.82978723404255,,236,561,2.3771186440678,
2020Q1,,S08000029,,S08000029,d,Elective Inpatients,,4,,212,431,2.03301886792453,,221,720,3.2579185520362,
2020Q2,,S08000029,,S08000029,d,Elective Inpatients,,4,,48,58,1.20833333333333,,50,103,2.06,
2020Q3,,S08000029,,S08000029,d,Elective Inpatients,,4,,143,225,1.57342657342657,,150,348,2.32,
2020Q4,,S08000029,,S08000029,d,Elective Inpatients,,4,,162,336,2.07407407407407,,164,362,2.20731707317073,
2021Q1,,S08000029,,S08000029,d,Elective Inpatients,,4,,95,174,1.83157894736842,,95,205,2.15789473684211,
2021Q2,,S08000029,,S08000029,d,Elective Inpatients,,4,,197,324,1.64467005076142,,201,425,2.11442786069652,
2021Q3,p,S08000029,,S08000029,d,Elective Inpatients,,4,,200,385,1.925,,201,520,2.58706467661692,
2016Q3,,S08000029,,S08000029,d,Elective Inpatients,,5,,230,539,2.34347826086957,,231,605,2.61904761904762,
2016Q4,,S08000029,,S08000029,d,Elective Inpatients,,5,,268,564,2.1044776119403,,269,688,2.55762081784387,
2017Q1,,S08000029,,S08000029,d,Elective Inpatients,,5,,205,377,1.8390243902439,,207,469,2.26570048309179,
2017Q2,,S08000029,,S08000029,d,Elective Inpatients,,5,,181,439,2.42541436464088,,179,400,2.23463687150838,
2017Q3,,S08000029,,S08000029,d,Elective Inpatients,,5,,202,401,1.98514851485149,,205,543,2.64878048780488,
2017Q4,,S08000029,,S08000029,d,Elective Inpatients,,5,,182,370,2.03296703296703,,182,485,2.66483516483516,
2018Q1,,S08000029,,S08000029,d,Elective Inpatients,,5,,182,322,1.76923076923077,,185,475,2.56756756756757,
2018Q2,,S08000029,,S08000029,d,Elective Inpatients,,5,,195,409,2.0974358974359,,196,505,2.5765306122449,
2018Q3,,S08000029,,S08000029,d,Elective Inpatients,,5,,180,379,2.10555555555556,,183,479,2.61748633879781,
2018Q4,,S08000029,,S08000029,d,Elective Inpatients,,5,,192,422,2.19791666666667,,191,514,2.69109947643979,
2019Q1,,S08000029,,S08000029,d,Elective Inpatients,,5,,216,469,2.1712962962963,,213,607,2.84976525821596,
2019Q2,,S08000029,,S08000029,d,Elective Inpatients,,5,,178,263,1.47752808988764,,182,604,3.31868131868132,
2019Q3,,S08000029,,S08000029,d,Elective Inpatients,,5,,202,366,1.81188118811881,,207,468,2.26086956521739,
2019Q4,,S08000029,,S08000029,d,Elective Inpatients,,5,,222,485,2.18468468468468,,229,852,3.72052401746725,
2020Q1,,S08000029,,S08000029,d,Elective Inpatients,,5,,182,279,1.53296703296703,,191,412,2.15706806282722,
2020Q2,,S08000029,,S08000029,d,Elective Inpatients,,5,,41,91,2.21951219512195,,40,116,2.9,
2020Q3,,S08000029,,S08000029,d,Elective Inpatients,,5,,133,261,1.96240601503759,,136,371,2.72794117647059,
2020Q4,,S08000029,,S08000029,d,Elective Inpatients,,5,,150,380,2.53333333333333,,154,421,2.73376623376623,
2021Q1,,S08000029,,S08000029,d,Elective Inpatients,,5,,77,184,2.38961038961039,,79,208,2.63291139240506,
2021Q2,,S08000029,,S08000029,d,Elective Inpatients,,5,,172,263,1.52906976744186,,171,330,1.92982456140351,
2021Q3,p,S08000029,,S08000029,d,Elective Inpatients,,5,,148,208,1.40540540540541,,153,322,2.10457516339869,
2016Q4,,S08000029,,S08000029,d,Elective Inpatients,, ,:,0,0, ,z,0,0, ,z
2017Q2,,S08000029,,S08000029,d,Elective Inpatients,, ,:,5,6,1.2,,5,6,1.2,
2017Q3,,S08000029,,S08000029,d,Elective Inpatients,, ,:,0,7, ,z,0,7, ,z
2019Q3,,S08000029,,S08000029,d,Elective Inpatients,, ,:,0,0, ,z,0,0, ,z
2019Q4,,S08000029,,S08000029,d,Elective Inpatients,, ,:,0,0, ,z,0,0, ,z
2016Q3,,S08000029,,F805H,,Elective Inpatients,,1,,30,31,1.03333333333333,,35,42,1.2,
2016Q4,,S08000029,,F805H,,Elective Inpatients,,1,,34,38,1.11764705882353,,36,46,1.27777777777778,
2017Q1,,S08000029,,F805H,,Elective Inpatients,,1,,30,26,0.866666666666667,,31,55,1.7741935483871,
2017Q2,,S08000029,,F805H,,Elective Inpatients,,1,,22,18,0.818181818181818,,24,26,1.08333333333333,
2017Q3,,S08000029,,F805H,,Elective Inpatients,,1,,32,29,0.90625,,34,34,1,
2017Q4,,S08000029,,F805H,,Elective Inpatients,,1,,25,18,0.72,,30,29,0.966666666666667,
2018Q1,,S08000029,,F805H,,Elective Inpatients,,1,,38,33,0.868421052631579,,40,47,1.175,
2018Q2,,S08000029,,F805H,,Elective Inpatients,,1,,25,27,1.08,,28,48,1.71428571428571,
2018Q3,,S08000029,,F805H,,Elective Inpatients,,1,,20,17,0.85,,21,21,1,
2018Q4,,S08000029,,F805H,,Elective Inpatients,,1,,25,23,0.92,,26,23,0.884615384615385,
2019Q1,,S08000029,,F805H,,Elective Inpatients,,1,,20,22,1.1,,25,39,1.56,
2019Q2,,S08000029,,F805H,,Elective Inpatients,,1,,26,23,0.884615384615385,,26,23,0.884615384615385,
2019Q3,,S08000029,,F805H,,Elective Inpatients,,1,,20,19,0.95,,20,21,1.05,
2019Q4,,S08000029,,F805H,,Elective Inpatients,,1,,30,27,0.9,,30,27,0.9,
2020Q1,,S08000029,,F805H,,Elective Inpatients,,1,,32,28,0.875,,34,30,0.882352941176471,
2020Q3,,S08000029,,F805H,,Elective Inpatients,,1,,15,10,0.666666666666667,,13,10,0.769230769230769,
2020Q4,,S08000029,,F805H,,Elective Inpatients,,1,,25,20,0.8,,23,21,0.91304347826087,
2021Q1,,S08000029,,F805H,,Elective Inpatients,,1,,20,19,0.95,,19,20,1.05263157894737,
2021Q2,,S08000029,,F805H,,Elective Inpatients,,1,,40,36,0.9,,39,70,1.79487179487179,
2021Q3,p,S08000029,,F805H,,Elective Inpatients,,1,,28,21,0.75,,28,22,0.785714285714286,
2016Q3,,S08000029,,F805H,,Elective Inpatients,,2,,30,29,0.966666666666667,,30,39,1.3,
2016Q4,,S08000029,,F805H,,Elective Inpatients,,2,,30,32,1.06666666666667,,35,37,1.05714285714286,
2017Q1,,S08000029,,F805H,,Elective Inpatients,,2,,25,30,1.2,,30,38,1.26666666666667,
2017Q2,,S08000029,,F805H,,Elective Inpatients,,2,,30,66,2.2,,30,76,2.53333333333333,
2017Q3,,S08000029,,F805H,,Elective Inpatients,,2,,43,35,0.813953488372093,,43,35,0.813953488372093,
2017Q4,,S08000029,,F805H,,Elective Inpatients,,2,,25,24,0.96,,30,37,1.23333333333333,
2018Q1,,S08000029,,F805H,,Elective Inpatients,,2,,30,39,1.3,,35,41,1.17142857142857,
2018Q2,,S08000029,,F805H,,Elective Inpatients,,2,,30,37,1.23333333333333,,33,40,1.21212121212121,
2018Q3,,S08000029,,F805H,,Elective Inpatients,,2,,25,36,1.44,,30,49,1.63333333333333,
2018Q4,,S08000029,,F805H,,Elective Inpatients,,2,,35,36,1.02857142857143,,35,45,1.28571428571429,
2019Q1,,S08000029,,F805H,,Elective Inpatients,,2,,30,36,1.2,,35,48,1.37142857142857,
2019Q2,,S08000029,,F805H,,Elective Inpatients,,2,,40,40,1,,40,43,1.075,
2019Q3,,S08000029,,F805H,,Elective Inpatients,,2,,30,29,0.966666666666667,,31,29,0.935483870967742,
2019Q4,,S08000029,,F805H,,Elective Inpatients,,2,,38,63,1.65789473684211,,40,71,1.775,
2020Q1,,S08000029,,F805H,,Elective Inpatients,,2,,25,24,0.96,,27,30,1.11111111111111,
2020Q3,,S08000029,,F805H,,Elective Inpatients,,2,,15,15,1,,19,27,1.42105263157895,
2020Q4,,S08000029,,F805H,,Elective Inpatients,,2,,22,22,1,,20,22,1.1,
2021Q1,,S08000029,,F805H,,Elective Inpatients,,2,,21,20,0.952380952380952,,20,21,1.05,
2021Q2,,S08000029,,F805H,,Elective Inpatients,,2,,25,24,0.96,,26,42,1.61538461538462,
2021Q3,p,S08000029,,F805H,,Elective Inpatients,,2,,26,22,0.846153846153846,,26,22,0.846153846153846,
2016Q3,,S08000029,,F805H,,Elective Inpatients,,3,,37,35,0.945945945945946,,40,247,6.175,
2016Q4,,S08000029,,F805H,,Elective Inpatients,,3,,35,38,1.08571428571429,,37,45,1.21621621621622,
2017Q1,,S08000029,,F805H,,Elective Inpatients,,3,,20,16,0.8,,23,45,1.95652173913043,
2017Q2,,S08000029,,F805H,,Elective Inpatients,,3,,30,21,0.7,,30,24,0.8,
2017Q3,,S08000029,,F805H,,Elective Inpatients,,3,,30,33,1.1,,35,40,1.14285714285714,
2017Q4,,S08000029,,F805H,,Elective Inpatients,,3,,22,16,0.727272727272727,,26,64,2.46153846153846,
2018Q1,,S08000029,,F805H,,Elective Inpatients,,3,,25,25,1,,26,30,1.15384615384615,
2018Q2,,S08000029,,F805H,,Elective Inpatients,,3,,40,33,0.825,,41,52,1.26829268292683,
2018Q3,,S08000029,,F805H,,Elective Inpatients,,3,,28,27,0.964285714285714,,30,44,1.46666666666667,
2018Q4,,S08000029,,F805H,,Elective Inpatients,,3,,25,27,1.08,,30,38,1.26666666666667,
2019Q1,,S08000029,,F805H,,Elective Inpatients,,3,,33,30,0.909090909090909,,35,37,1.05714285714286,
2019Q2,,S08000029,,F805H,,Elective Inpatients,,3,,39,40,1.02564102564103,,40,41,1.025,
2019Q3,,S08000029,,F805H,,Elective Inpatients,,3,,28,29,1.03571428571429,,30,39,1.3,
2019Q4,,S08000029,,F805H,,Elective Inpatients,,3,,35,33,0.942857142857143,,35,35,1,
2020Q1,,S08000029,,F805H,,Elective Inpatients,,3,,20,24,1.2,,24,117,4.875,
2020Q3,,S08000029,,F805H,,Elective Inpatients,,3,,21,19,0.904761904761905,,22,28,1.27272727272727,
2020Q4,,S08000029,,F805H,,Elective Inpatients,,3,,26,26,1,,27,31,1.14814814814815,
2021Q1,,S08000029,,F805H,,Elective Inpatients,,3,,25,23,0.92,,25,24,0.96,
2021Q2,,S08000029,,F805H,,Elective Inpatients,,3,,27,24,0.888888888888889,,30,32,1.06666666666667,
2021Q3,p,S08000029,,F805H,,Elective Inpatients,,3,,19,14,0.736842105263158,,20,14,0.7,
2016Q3,,S08000029,,F805H,,Elective Inpatients,,4,,20,18,0.9,,23,21,0.91304347826087,
2016Q4,,S08000029,,F805H,,Elective Inpatients,,4,,20,16,0.8,,22,17,0.772727272727273,
2017Q1,,S08000029,,F805H,,Elective Inpatients,,4,,15,14,0.933333333333333,,15,20,1.33333333333333,
2017Q2,,S08000029,,F805H,,Elective Inpatients,,4,,28,47,1.67857142857143,,25,19,0.76,
2017Q3,,S08000029,,F805H,,Elective Inpatients,,4,,22,31,1.40909090909091,,23,32,1.39130434782609,
2017Q4,,S08000029,,F805H,,Elective Inpatients,,4,,34,28,0.823529411764706,,35,29,0.828571428571429,
2018Q1,,S08000029,,F805H,,Elective Inpatients,,4,,25,28,1.12,,30,37,1.23333333333333,
2018Q2,,S08000029,,F805H,,Elective Inpatients,,4,,25,23,0.92,,26,24,0.923076923076923,
2018Q3,,S08000029,,F805H,,Elective Inpatients,,4,,20,22,1.1,,20,23,1.15,
2018Q4,,S08000029,,F805H,,Elective Inpatients,,4,,20,19,0.95,,25,23,0.92,
2019Q1,,S08000029,,F805H,,Elective Inpatients,,4,,30,32,1.06666666666667,,30,36,1.2,
2019Q2,,S08000029,,F805H,,Elective Inpatients,,4,,25,23,0.92,,25,25,1,
2019Q3,,S08000029,,F805H,,Elective Inpatients,,4,,25,34,1.36,,25,34,1.36,
2019Q4,,S08000029,,F805H,,Elective Inpatients,,4,,26,26,1,,25,30,1.2,
2020Q1,,S08000029,,F805H,,Elective Inpatients,,4,,30,26,0.866666666666667,,28,26,0.928571428571429,
2020Q3,,S08000029,,F805H,,Elective Inpatients,,4,,12,11,0.916666666666667,,15,12,0.8,
2020Q4,,S08000029,,F805H,,Elective Inpatients,,4,,21,22,1.04761904761905,,20,24,1.2,
2021Q1,,S08000029,,F805H,,Elective Inpatients,,4,,15,13,0.866666666666667,,13,13,1,
2021Q2,,S08000029,,F805H,,Elective Inpatients,,4,,25,19,0.76,,26,20,0.769230769230769,
2021Q3,p,S08000029,,F805H,,Elective Inpatients,,4,,25,28,1.12,,25,32,1.28,
2016Q3,,S08000029,,F805H,,Elective Inpatients,,5,,40,36,0.9,,40,47,1.175,
2016Q4,,S08000029,,F805H,,Elective Inpatients,,5,,40,41,1.025,,40,59,1.475,
2017Q1,,S08000029,,F805H,,Elective Inpatients,,5,,25,20,0.8,,27,26,0.962962962962963,
2017Q2,,S08000029,,F805H,,Elective Inpatients,,5,,20,105,5.25,,20,26,1.3,
2017Q3,,S08000029,,F805H,,Elective Inpatients,,5,,25,26,1.04,,25,30,1.2,
2017Q4,,S08000029,,F805H,,Elective Inpatients,,5,,15,15,1,,15,13,0.866666666666667,
2018Q1,,S08000029,,F805H,,Elective Inpatients,,5,,35,31,0.885714285714286,,35,81,2.31428571428571,
2018Q2,,S08000029,,F805H,,Elective Inpatients,,5,,20,20,1,,20,20,1,
2018Q3,,S08000029,,F805H,,Elective Inpatients,,5,,15,16,1.06666666666667,,16,16,1,
2018Q4,,S08000029,,F805H,,Elective Inpatients,,5,,15,16,1.06666666666667,,17,16,0.941176470588235,
2019Q1,,S08000029,,F805H,,Elective Inpatients,,5,,21,21,1,,21,25,1.19047619047619,
2019Q2,,S08000029,,F805H,,Elective Inpatients,,5,,20,20,1,,20,22,1.1,
2019Q3,,S08000029,,F805H,,Elective Inpatients,,5,,30,30,1,,35,47,1.34285714285714,
2019Q4,,S08000029,,F805H,,Elective Inpatients,,5,,25,25,1,,25,100,4,
2020Q1,,S08000029,,F805H,,Elective Inpatients,,5,,20,20,1,,20,25,1.25,
2020Q3,,S08000029,,F805H,,Elective Inpatients,,5,,10,14,1.4,,10,21,2.1,
2020Q4,,S08000029,,F805H,,Elective Inpatients,,5,,20,19,0.95,,20,21,1.05,
2021Q1,,S08000029,,F805H,,Elective Inpatients,,5,,13,16,1.23076923076923,,15,25,1.66666666666667,
2021Q2,,S08000029,,F805H,,Elective Inpatients,,5,,27,19,0.703703703703704,,27,20,0.740740740740741,
2021Q3,p,S08000029,,F805H,,Elective Inpatients,,5,,20,25,1.25,,20,25,1.25,
2019Q4,,S08000029,,F805H,,Elective Inpatients,, ,:,0,0, ,z,0,0, ,z
2016Q3,,S08000029,,F704H,,Elective Inpatients,,1,,298,717,2.40604026845638,,304,1061,3.49013157894737,
2016Q4,,S08000029,,F704H,,Elective Inpatients,,1,,260,548,2.10769230769231,,260,680,2.61538461538462,
2017Q1,,S08000029,,F704H,,Elective Inpatients,,1,,305,683,2.23934426229508,,305,883,2.89508196721311,
2017Q2,,S08000029,,F704H,,Elective Inpatients,,1,,254,479,1.88582677165354,,255,603,2.36470588235294,
2017Q3,,S08000029,,F704H,,Elective Inpatients,,1,,270,593,2.1962962962963,,274,712,2.5985401459854,
2017Q4,,S08000029,,F704H,,Elective Inpatients,,1,,237,511,2.15611814345992,,240,661,2.75416666666667,
2018Q1,,S08000029,,F704H,,Elective Inpatients,,1,,235,417,1.77446808510638,,230,428,1.86086956521739,
2018Q2,,S08000029,,F704H,,Elective Inpatients,,1,,269,673,2.50185873605948,,269,986,3.66542750929368,
2018Q3,,S08000029,,F704H,,Elective Inpatients,,1,,263,523,1.98859315589354,,263,842,3.20152091254753,
2018Q4,,S08000029,,F704H,,Elective Inpatients,,1,,245,501,2.04489795918367,,250,792,3.168,
2019Q1,,S08000029,,F704H,,Elective Inpatients,,1,,260,491,1.88846153846154,,265,698,2.63396226415094,
2019Q2,,S08000029,,F704H,,Elective Inpatients,,1,,253,491,1.94071146245059,,255,689,2.70196078431373,
2019Q3,,S08000029,,F704H,,Elective Inpatients,,1,,270,507,1.87777777777778,,270,670,2.48148148148148,
2019Q4,,S08000029,,F704H,,Elective Inpatients,,1,,270,533,1.97407407407407,,275,841,3.05818181818182,
2020Q1,,S08000029,,F704H,,Elective Inpatients,,1,,240,548,2.28333333333333,,246,927,3.76829268292683,
2020Q2,,S08000029,,F704H,,Elective Inpatients,,1,,65,103,1.58461538461538,,65,255,3.92307692307692,
2020Q3,,S08000029,,F704H,,Elective Inpatients,,1,,170,259,1.52352941176471,,173,471,2.72254335260116,
2020Q4,,S08000029,,F704H,,Elective Inpatients,,1,,175,293,1.67428571428571,,180,384,2.13333333333333,
2021Q1,,S08000029,,F704H,,Elective Inpatients,,1,,105,202,1.92380952380952,,106,235,2.21698113207547,
2021Q2,,S08000029,,F704H,,Elective Inpatients,,1,,220,362,1.64545454545455,,224,515,2.29910714285714,
2021Q3,p,S08000029,,F704H,,Elective Inpatients,,1,,174,298,1.71264367816092,,173,392,2.26589595375723,
2016Q3,,S08000029,,F704H,,Elective Inpatients,,2,,280,623,2.225,,280,1040,3.71428571428571,
2016Q4,,S08000029,,F704H,,Elective Inpatients,,2,,320,595,1.859375,,321,859,2.67601246105919,
2017Q1,,S08000029,,F704H,,Elective Inpatients,,2,,310,570,1.83870967741935,,310,924,2.98064516129032,
2017Q2,,S08000029,,F704H,,Elective Inpatients,,2,,276,535,1.93840579710145,,279,798,2.86021505376344,
2017Q3,,S08000029,,F704H,,Elective Inpatients,,2,,315,748,2.37460317460317,,315,1029,3.26666666666667,
2017Q4,,S08000029,,F704H,,Elective Inpatients,,2,,300,909,3.03,,305,1080,3.54098360655738,
2018Q1,,S08000029,,F704H,,Elective Inpatients,,2,,250,474,1.896,,250,642,2.568,
2018Q2,,S08000029,,F704H,,Elective Inpatients,,2,,280,560,2,,278,631,2.26978417266187,
2018Q3,,S08000029,,F704H,,Elective Inpatients,,2,,285,592,2.07719298245614,,287,917,3.19512195121951,
2018Q4,,S08000029,,F704H,,Elective Inpatients,,2,,265,495,1.86792452830189,,275,710,2.58181818181818,
2019Q1,,S08000029,,F704H,,Elective Inpatients,,2,,264,448,1.6969696969697,,264,620,2.34848484848485,
2019Q2,,S08000029,,F704H,,Elective Inpatients,,2,,262,477,1.8206106870229,,262,721,2.75190839694656,
2019Q3,,S08000029,,F704H,,Elective Inpatients,,2,,264,530,2.00757575757576,,265,800,3.0188679245283,
2019Q4,,S08000029,,F704H,,Elective Inpatients,,2,,295,568,1.92542372881356,,295,790,2.67796610169492,
2020Q1,,S08000029,,F704H,,Elective Inpatients,,2,,265,457,1.72452830188679,,268,627,2.33955223880597,
2020Q2,,S08000029,,F704H,,Elective Inpatients,,2,,75,115,1.53333333333333,,80,237,2.9625,
2020Q3,,S08000029,,F704H,,Elective Inpatients,,2,,170,315,1.85294117647059,,170,494,2.90588235294118,
2020Q4,,S08000029,,F704H,,Elective Inpatients,,2,,177,379,2.14124293785311,,185,468,2.52972972972973,
2021Q1,,S08000029,,F704H,,Elective Inpatients,,2,,116,299,2.57758620689655,,115,370,3.21739130434783,
2021Q2,,S08000029,,F704H,,Elective Inpatients,,2,,215,360,1.67441860465116,,222,519,2.33783783783784,
2021Q3,p,S08000029,,F704H,,Elective Inpatients,,2,,201,339,1.6865671641791,,200,436,2.18,
2016Q3,,S08000029,,F704H,,Elective Inpatients,,3,,291,848,2.91408934707904,,285,994,3.4877192982456098,
2016Q4,,S08000029,,F704H,,Elective Inpatients,,3,,265,660,2.49056603773585,,265,944,3.5622641509434,
2017Q1,,S08000029,,F704H,,Elective Inpatients,,3,,230,447,1.94347826086957,,234,758,3.23931623931624,
2017Q2,,S08000029,,F704H,,Elective Inpatients,,3,,237,472,1.9915611814346,,242,764,3.15702479338843,
2017Q3,,S08000029,,F704H,,Elective Inpatients,,3,,243,569,2.34156378600823,,243,742,3.05349794238683,
2017Q4,,S08000029,,F704H,,Elective Inpatients,,3,,220,489,2.22272727272727,,225,679,3.01777777777778,
2018Q1,,S08000029,,F704H,,Elective Inpatients,,3,,231,445,1.92640692640693,,230,641,2.78695652173913,
2018Q2,,S08000029,,F704H,,Elective Inpatients,,3,,239,465,1.94560669456067,,238,609,2.55882352941176,
2018Q3,,S08000029,,F704H,,Elective Inpatients,,3,,217,411,1.89400921658986,,220,596,2.70909090909091,
2018Q4,,S08000029,,F704H,,Elective Inpatients,,3,,250,641,2.564,,255,791,3.10196078431373,
2019Q1,,S08000029,,F704H,,Elective Inpatients,,3,,212,448,2.11320754716981,,210,607,2.89047619047619,
2019Q2,,S08000029,,F704H,,Elective Inpatients,,3,,251,392,1.56175298804781,,257,675,2.62645914396887,
2019Q3,,S08000029,,F704H,,Elective Inpatients,,3,,222,375,1.68918918918919,,230,588,2.55652173913043,
2019Q4,,S08000029,,F704H,,Elective Inpatients,,3,,203,382,1.88177339901478,,207,482,2.32850241545894,
